username,content
PolsekBunturaj8,"KEGIATAN PERSONEL POLSEK BUNTURAJA MELAKSANAKAN PENGAMANAN PENDISTRIBUSIAN BANSOS BLT, BANTUAN BBM, SERTA SEMBAKO KEPADA MASYARAKAT DI KANTOR POS BUNTURAJA, MEMBERIKAN HIMBAUAN AGAR MASYARAKAT AGAR TIDAK ANTUSIAS TERHADAP KENAIKAN HARGA BBM. https://t.co/QUhx3XSO9o"
KompasTV,"Cerita Perajin Anyaman Eceng Gondok, Tak Terdampak Pandemi tapi Harga Bahan Naik Seiring Harga BBM https://t.co/kX5BVSwkNO https://t.co/A5waRgE8dU"
thepappito,"Semalam pakai taksol, drivernya sedang gundah. Jika tarif naik, penumpang akan berkurang.

https://t.co/3M5jSlgM4N

Kenaikan tarif ojek online (ojol) mulai berlaku hari ini. Kementerian Perhubungan menaikkan tarif ojol seiring kenaikan harga bahan bakar minyak (BBM)."
tans_trisna,"@abu_waras Udah hancur harga harga di pasar karena kenaikan BBM kemarin apa bisa normal lagi dgn di turunkan lagi??

Mangkanya pake otak dan hati nurani kalau mau bikin keputusan tuh 🥵"
conan_idn,"@BangNalar Emak makanya sekolah. atau bacalah soal daya beli masyarakat jika BBM naik Lagi dan Lagi. 
atau bacalah harga BBM di negara tetangga spt Malaysia berapa. 
atau simaklah apa kata Permadi dan Jokowi ini.
Paham gak mak?
Payah kalo gak paham. https://t.co/eEuWMqJnLS"
jpnncom,"#BeritaJabar
Pemkab Cianjur Salurkan BLT Dampak Kenaikan Harga BBM
#pemkabcianjur
#penyaluranbltbbm 
https://t.co/VZqBD8H2Lf"
Bunga_Que,"Ribuan buruh gelar aksi demo penolakan kenaikan harga bbm serentak di berbagai daerah. 
#BangkitAtauTertindas 
#BangkitAtauTertindas 

https://t.co/a1AbyZD7JR"
Thavit_Amoura,"JOKOWI HARUS SEGERA CABUT KENAIKAN HARGA BBM KARENA BAHAYA BAGI EKSISTENSI PEMERINTAHAN DI AKHIR MASA JABATANNYA. 

#BangkitAtauTertindas 
#BangkitAtauTertindas 

https://t.co/bc9dzHJIeL"
Sumari59,Sumari minta kerugian 744.560 triliun sebagai suku cadang khas negara perwakilan UMKM  dampak kenaikan harga bbm 2014 / 2024
LamanRiauCom,"Beruntungnya Jadi Pegawai BUMN, Harga BBM Naik, Gaji Pun Bakal Naik https://t.co/fhneaZof2J"
Ibnxine,"Orang bego begini kok bisa dijadikan menteri, hanya utang bisa dan bikin harga BBM Naik selangit.
#TolakTerusKenaikanBBM https://t.co/deZfzANort"
UsniErlangga,"@Nunk26821022 @Cintada16 Jika harga BBM turun, apa yg tdk demo ttp beli yg harga mahal, apa nggak senang juga klo harga turun. Apa klo anis jadi presiden untuk kptgn pribadi, cuma yg lain aja untuk negara.😬😬😬😬sdt pandang picik.. Positip,Lihat saja tupoksi presiden jadi nyapres bkn kptgn Pribadi/klpk. https://t.co/MZ34Qi8xEl"
